inad_rd_pf_cr_rur_tot,inad_rd_pj_cr_rur_tot,ipca,spread_pf,spread_pj,spread_tot,selic,cdi,dolar_ptax,rendimento_medio_mensal_reais,tx_informalidade_p14m_ocupadas_pct,pessoas_14mais_mil,p14m_forca_trabalho_mil,p14m_ocupadas_mil,p14m_desocupadas_mil,p14m_fora_forca_trabalho_mil,tx_foca_trabalho_p14m_pct,tx_desocupacao_p14m_pct,insolacao_total_h,precipitacao_total_mm,temp_max_media_c,temp_min_media_c,umidade_media_pct,vento_vel_max_ms,vento_vel_media_ms,flag_pandemia,flag_greve_caminhoneiros,flag_eleicao_presidencial,flag_joesley_day,flag_impeachment,selic_lag_3,selic_lag_6,selic_lag_12,ipca_lag_3,ipca_lag_6,ipca_lag_12,tx_desocupacao_p14m_pct_lag_3,tx_desocupacao_p14m_pct_lag_6,tx_desocupacao_p14m_pct_lag_12,rendimento_medio_mensal_reais_lag_3,rendimento_medio_mensal_reais_lag_6,rendimento_medio_mensal_reais_lag_12,dolar_ptax_lag_3,dolar_ptax_lag_6,dolar_ptax_lag_12,target_lag_1,presidente_Dilma,presidente_Lula,presidente_Temer
2.63,0.81,0.29,24.86,9.34,18.7,0.02462,0.02462,3.723625,2220.0,40.5,165581.0,104641.0,91203.0,13439.0,60939.0,63.2,12.8,166.8,190.33,31.79,21.55,78.11,4.34,1.44,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.0258100555555555,-1.0,0.12,0.55,11.7,12.0,13.2,2141.0,2141.0,2141.0,3.786665,3.9297565217391295,3.2415000000000003,3.34,False,False,False
2.7,0.78,0.75,25.33,9.18,18.92,0.02462,0.02462,3.846484210526316,2220.0,40.5,165581.0,104641.0,91203.0,13439.0,60939.0,63.2,12.8,180.94,212.9,31.27,21.37,79.18,4.09,1.43,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.0252857142857142,-0.89,0.96,0.23,11.7,12.0,13.2,2141.0,2141.0,2141.0,3.885055,4.1165473684210525,3.2792142857142856,3.3,False,False,False
2.62,0.8,1.03,25.31,9.26,18.99,0.02462,0.02462,3.896157142857143,2220.0,40.9,165934.0,105460.0,92662.0,12797.0,60475.0,63.6,12.1,181.98,171.57,30.79,21.04,80.31,3.74,1.28,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.02462,0.05,0.54,0.6,12.8,11.7,12.6,2220.0,2141.0,2141.0,3.7416818181818186,3.758409090909091,3.407495238095238,3.36,False,False,False
2.51,0.85,1.16,25.21,9.12,18.87,0.02462,0.02462,4.001518181818182,2220.0,40.9,165934.0,105460.0,92662.0,12797.0,60475.0,63.6,12.1,195.12,119.39,30.09,20.05,78.69,3.68,1.35,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.02462,0.29,-1.0,1.37,12.8,11.7,12.6,2220.0,2141.0,2141.0,3.723625,3.786665,3.636057142857143,3.36,False,False,False
2.41,5.81,-0.19,25.71,8.88,19.15,0.02462,0.02462,3.8588263157894738,2220.0,40.9,165934.0,105460.0,92662.0,12797.0,60475.0,63.6,12.1,202.88,72.52,29.59,18.32,74.57,4.34,1.58,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.02462,0.75,-0.89,2.49,12.8,11.7,12.6,2220.0,2141.0,2141.0,3.846484210526316,3.885055,3.773171428571428,3.41,False,False,False
2.42,5.92,0.4,25.68,9.4,19.37,0.02462,0.02462,3.779339130434783,2220.0,41.0,166301.0,105771.0,93191.0,12581.0,60530.0,63.6,11.9,217.59,67.27,28.63,16.73,72.31,4.4,1.59,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.02462,1.03,0.05,0.89,12.1,12.8,12.0,2220.0,2220.0,2141.0,3.896157142857143,3.7416818181818186,3.828763636363637,3.35,False,False,False
2.45,5.93,0.6,25.91,9.24,19.53,0.022751,0.022751,4.019981818181818,2220.0,41.0,166301.0,105771.0,93191.0,12581.0,60530.0,63.6,11.9,232.62,42.43,30.02,17.67,67.71,5.07,1.89,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.02462,1.16,0.29,0.12,12.1,12.8,12.0,2220.0,2220.0,2141.0,4.001518181818182,3.723625,3.9297565217391295,3.44,False,False,False
2.61,5.84,0.12,25.31,8.6,18.91,0.0220351904761904,0.0220351904761904,4.1215,2220.0,41.0,166301.0,105771.0,93191.0,12581.0,60530.0,63.6,11.9,226.26,47.5,32.09,19.43,65.7,4.68,1.89,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.02462,-0.19,0.75,0.96,12.1,12.8,12.0,2220.0,2220.0,2141.0,3.8588263157894738,3.846484210526316,4.1165473684210525,3.48,False,False,False
2.64,5.77,-0.11,24.87,8.99,18.8,0.0207899565217391,0.0207899565217391,4.086986956521739,2220.0,40.7,166670.0,105617.0,93920.0,11698.0,61053.0,63.4,11.1,226.66,84.26,32.48,20.56,68.35,4.63,1.88,0.0,0.0,0.0,0.0,0.0,0.02462,0.02462,0.02462,0.4,1.03,0.54,11.9,12.1,11.7,2220.0,2220.0,2141.0,3.779339130434783,3.896157142857143,3.758409090909091,3.54,False,False,False
2.59,5.85,0.97,25.2,8.75,18.94,0.018985,0.018985,4.155345,2220.0,40.7,166670.0,105617.0,93920.0,11698.0,61053.0,63.4,11.1,207.98,115.85,32.47,21.32,71.09,4.41,1.78,0.0,0.0,0.0,0.0,0.0,0.022751,0.02462,0.02462,0.6,1.16,-1.0,11.9,12.1,11.7,2220.0,2220.0,2141.0,4.019981818181818,4.001518181818182,3.786665,3.53,False,False,False
2.57,5.8,0.35,23.81,8.33,17.91,0.0178112857142857,0.0178112857142857,4.109590476190476,2220.0,40.7,166670.0,105617.0,93920.0,11698.0,61053.0,63.4,11.1,214.42,133.17,32.43,21.45,72.58,4.19,1.68,0.0,0.0,0.0,0.0,0.0,0.0220351904761904,0.02462,0.02462,0.12,-0.19,-0.89,11.9,12.1,11.7,2220.0,2220.0,2141.0,4.1215,3.8588263157894738,3.885055,3.54,False,False,False
